x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
0,4,1788557563,1882456767,1576158119,22930225.166666668
0,5,497661310,448812858,482865886,16588710.333333334
0,6,682781675,1242467886,1376096404,12192529.910714285
0,7,1102366173,1462452887,1226010800,18372769.55
0,8,790093972,976493375,347622276,16460291.083333334
0,9,2008870059,1898978096,2459508199,21370958.074468084
0,10,1905224383,1463489731,1228884976,24425953.628205128
0,11,2226063642,1298818479,2448853017,25586938.413793102
0,12,2849686119,1244925264,2750848274,28784708.272727273
0,13,5106169421,4167656206,4894967447,20589392.826612905
0,14,5718867244,3861833988,6141976383,21259729.531598512
0,15,5929084614,4305612701,5497045762,22373904.203773584
0,16,5557508120,4559418732,5557199161,20736970.597014926
0,17,2195276620,2690877385,2074712066,16141739.852941176
0,18,1659007646,2546404847,1461340607,14179552.52991453
0,19,993449612,1106368917,1403056488,15283840.184615385
0,20,924114079,1114521910,501424177,15401901.316666666
0,21,481053263,672645245,903998278,10933028.704545455
0,22,691962857,572237694,695296654,22321382.48387097
0,23,898409410,1469829370,896546535,20418395.681818184
0,24,1360385418,823954073,1681302602,25192322.555555556
0,25,1337941610,1204530912,1344291024,18327967.260273974
0,26,1974790337,994649265,1588289241,29041034.36764706
0,27,513438444,64628286,465817197,13876714.702702703
0,28,756159141,85399061,862931515,26074453.137931034
0,29,781377708,1153304750,1016227669,15946483.836734693
0,30,1276190679,1001537860,798704933,31126601.926829267
0,31,123181854,1017074106,578033199,4106061.8
0,32,1092083884,695368922,669779587,43683355.36
0,33,656715620,461151947,966875877,26268624.8
0,34,1557781618,1451698138,1282581993,25537403.573770493
0,35,37136,112310263,310205780,7427.2
0,36,1214193071,1115302413,1124161037,25833895.127659574
0,37,1089214179,1343949750,1213708059,25330562.30232558
0,38,777651508,777807932,1121324705,26815569.24137931
0,39,704980816,229052056,918791277,23499360.533333335
0,40,769601883,706003864,336517237,36647708.71428572
0,41,492391365,477859101,795859219,25915335
0,42,1267151806,1417722511,1603786883,21119196.766666666
0,43,684627814,467319878,684696200,34231390.7
0,44,459390199,475491936,459262716,20881372.681818184
0,46,303134641,331152024,123033271,33681626.777777776
0,47,801628319,740157817,801682357,25050884.96875
0,48,34857,851,218,17428.5
1,4,1148619893,1368087871,1361569873,17671075.276923075
1,5,918429808,394866289,918750286,36737192.32
1,6,895034254,1289054317,894129334,18646546.958333332
1,7,3361230731,2781591797,2459531135,28485006.194915254
1,8,2009053175,2021371324,2007456397,22830149.71590909
1,9,1339723751,1547013094,1671145582,20298844.71212121
1,10,1167718543,1111925043,1050418690,17428634.970149253
1,11,1816970070,1629580777,2372383814,18731650.206185568
1,12,2350654855,1612667037,2153983039,22602450.528846152
1,13,3266647596,2570238213,2912942961,18773836.75862069
1,14,5921976348,4166852943,5506496944,21852311.24723247
1,15,4618074403,3366096032,5032839235,20991247.286363635
1,16,3989055503,2578146847,3990176076,20995028.963157896
1,17,1449951910,2628592241,1448329693,15760346.847826088
1,18,1676305361,2749185069,1583384149,13740207.87704918
1,19,2159663666,2664415682,2370759787,15649736.710144928
1,20,1937514027,2195718175,2149338452,16847948.060869563
1,21,689270066,1096220027,813871407,13255193.576923076
1,22,460527402,550477991,336281647,12119142.157894736
1,23,333099414,334096100,333071697,9252761.5
1,24,2436860784,1331743628,1902324753,22774399.85046729
1,25,4669429383,5181389546,5221842596,20040469.45493562
1,26,1464216283,630950093,1542151500,22878379.421875
1,27,873295364,878699767,873253985,21299886.926829267
1,28,1283565136,905077237,1501183715,22920806
1,29,878973974,471222080,335643840,39953362.45454545
1,30,798724586,1430234356,1276145720,21019068.05263158
1,31,2134206201,1029264228,1490515136,38110825.01785714
1,32,1999054965,2496225207,2466234553,22977643.275862068
1,33,936205488,1217405837,1214441323,20804566.4
1,34,1215162355,980906651,466756412,36823101.666666664
1,35,38860,32979,20,38860
1,36,34,112310100,310103323,17
1,37,1244292730,779611990,778327271,33629533.24324324
1,38,434753416,597766597,746154976,17390136.64
1,39,1269597632,1308812665,835747443,28854491.636363637
1,40,123069586,366459523,466300147,6477346.631578947
1,41,466438464,596855633,466330095,16084084.965517242
1,42,801821412,597255824,465898880,30839285.076923076
1,43,459283467,475507782,459281277,20876521.227272727
1,45,72,22,0,72
1,46,375417783,347002896,678564003,26815555.92857143
1,48,123061800,29561,150,61530900
2,1,320322321,321,932,320322321
2,3,120021339,21554350,213756461,30005334.75
2,4,1582535161,1557969368,1122204193,26822629.84745763
2,5,2132850824,1450888190,1061070309,25391081.23809524
2,6,1241711406,1861915603,1788317257,18260461.852941178
2,7,1583956985,2035507194,1696865054,19799462.3125
2,8,1246217988,1166414002,2138918041,17552366.028169014
2,9,2801236085,2469452606,2009139591,23739288.855932202
2,10,2796400960,1565444731,2915414864,26134588.41121495
2,11,2594969924,2161053535,2616416046,20594999.396825396
2,12,2352209241,1618549161,2565467877,21579901.29357798
2,13,2325946346,1601770110,1994914047,23029171.742574256
2,14,3947910085,2945647722,4162633084,21340054.513513513
2,15,3297581336,2713030418,3509483185,20739505.257861637
2,16,4334714128,3540103228,4168071488,21458980.83168317
2,17,643558192,821853806,1029822636,11095830.896551725
2,18,1392361513,2296901952,1194609084,17624829.278481014
2,19,968051593,1322901978,1206610258,13260980.726027397
2,20,1429107161,2000184050,1432614818,14435425.868686868
2,21,1021375892,875410397,1230662088,14802549.15942029
2,22,1386180746,1646444222,934795695,17113342.543209877
2,23,333153527,334423921,333177333,8767198.078947369
2,24,572938947,376936883,666801649,14690742.23076923
2,25,1896794184,1510082977,1360227065,28739305.818181816
2,26,874424172,912354254,754913763,23633085.72972973
2,27,672235779,570351019,700698295,17236814.846153848
2,28,1952100407,825833179,1938401656,26741101.465753425
2,29,48230520,268827494,370383595,2296691.4285714286
2,30,1122955264,891189565,489655473,31193201.777777776
2,31,1577827095,1765562744,1578320353,25866017.95081967
2,32,1714263035,1905186909,1937806918,24844391.811594203
2,33,623003191,1217546050,903239530,15195199.780487806
2,34,28124,234332576,313261669,2812.4
2,37,1036910,68773,29733,518455
2,38,1432819529,1766952124,1368421801,23488844.737704918
2,39,1801721559,796122771,1335555413,40038256.86666667
2,40,336429436,445578393,459507535,16821471.8
2,41,802797663,944803914,1146066635,20069941.575
2,42,1146195488,711358716,802818435,33711632
2,43,336312337,114303316,336319285,48044619.571428575
3,4,3490941156,2923813728,4364847674,21818382.225
3,5,1473121712,1691027457,1588771036,19907050.162162162
3,6,818061364,1355157413,828160218,16040418.901960785
3,7,810932404,1355511584,1239099750,12871942.92063492
3,8,2007865546,1850242218,2129268832,30422205.242424242
3,9,2223221130,2166014769,2223647139,20585380.833333332
3,10,2278448144,2319050108,2704927285,20903193.981651377
3,11,2396996404,1929059229,2012480878,22194411.14814815
3,12,2423340513,1373987490,2334751718,24478187
3,13,2455293340,2220863838,2417334384,20807570.677966103
3,14,3236219590,2267564215,3833444159,18815230.174418606
3,15,1978653291,1420596425,1335000132,23555396.32142857
3,16,2657040270,2652354472,2558428640,20921576.92913386
3,17,2003868146,2721167833,1783462162,16698901.216666667
3,18,763605068,812760907,762926665,15272101.36
3,19,730578966,885786631,477792982,15882151.43478261
3,20,1145053927,1800971322,1145499753,14680178.551282052
3,21,690897538,1191364239,599923198,13547010.549019609
3,22,905925382,879280943,797627753,20131675.155555554
3,23,556694713,670662746,785539172,10915582.607843136
3,24,2443785,112075319,122448627,162919
3,25,65620967,90977730,185761651,2523883.346153846
3,26,1122523313,624160555,1325904422,26105193.325581394
3,27,1306439987,548705881,1225983222,26662040.55102041
3,28,670237617,658272775,1320827994,12411807.722222222
3,29,998051735,596140138,240123218,33268391.166666668
3,30,123258416,544270597,434670712,10271534.666666666
3,31,313485192,235350352,314239570,20899012.8
3,32,1102027173,1015732604,1102201038,26238742.214285713
3,33,1436967181,1227954349,1246814164,27633984.25
3,38,499443619,444331198,466429081,22701982.681818184
3,39,2424118332,3025036072,3081214934,20718960.102564104
3,40,1917134493,1622783882,1605966283,29955226.453125
3,41,1262277652,857774893,802988276,30787259.80487805
4,4,120291795,321486148,196336,15036474.375
4,5,1688467956,856443852,1161952366,30151213.5
4,6,1210859178,1062918084,882081738,34595976.51428571
4,7,895434066,694553512,811952845,20350774.227272727
4,8,1240207264,816406767,1011747114,27560161.422222223
4,9,1262677846,2102340486,1704656397,14682300.53488372
4,10,2313066077,2177369868,1978932008,18959558.008196723
4,11,2478259879,1505969678,2086968980,23829421.91346154
4,12,2598647448,1526370210,2011454333,23840802.275229357
4,13,1492833161,1695348688,2271218920,14635619.225490196
4,14,3394938901,2521030772,3250302922,24077580.85815603
4,15,1784516531,1473714558,1692204373,18984218.414893616
4,16,2588247264,1635404079,2305882662,19031229.88235294
4,17,1894207720,786237519,2051522463,20815469.45054945
4,18,894180420,1182617158,764028638,14658695.409836065
4,19,844758907,1361098722,1343823548,13408871.53968254
4,20,1665921984,1561606801,1323482184,20071349.204819277
4,21,475517224,344561091,253227967,16397145.655172413
4,22,467968528,334997305,461913958,15598950.933333334
