x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,1,2,3131130,3012003
0,8,8485,79,17
0,10,14,10,3
0,13,89,37,7
0,14,52118,972,30
0,15,1,1,0
0,17,30009,17,5
0,19,29,9,131123315
0,20,536956,110183,11
0,21,1,313112331,322331
0,22,945,89,26
0,26,18,4,264414446
0,30,36334,8794,18
0,32,31321067,1021320,3681
0,35,2,2,0
0,36,112331013,1,487
0,37,34,311233113,233104432
0,39,2,644125337,27713
0,40,1630,652,18
0,41,12,3131114,11320239
0,42,111211421,313111378,321854
0,43,21,311121138,31311254
0,51,113913,19749,13
0,52,7,1,7
0,53,1,1,0
0,55,176437,32632,18
0,57,6770,17,12
0,60,7,1,131112112
0,73,12062,367,116
0,76,15,10,7
0,77,35,1,1
0,98,18970,18,3
0,99,31311120,3112301,16034
0,101,120311230,0,3
0,104,28575,4686,19
0,105,0,7,5
0,106,37,1,1
0,119,689,114,91
0,120,5300,72,1
0,121,20,4,2
0,123,131110003,110016152,27319
1,3,66224,18336,13
1,4,7,8,1
1,7,14,37,8
1,8,112332822,1442,1038
1,9,1,1,0
1,10,29629,14,3
1,12,1,126452434,32131124
1,13,32209881,42891,10787
1,14,5133,32,11
1,15,6,1,1
1,17,26188,29853,19
1,18,54506,22124,16
1,19,5692,24,13
1,20,264444243,1330105,2865
1,21,19,5,112331325
1,23,17,8,4
1,25,172782,54497,7
1,26,18,1,1
1,36,1,1,0
1,38,7,6,0
1,39,6,0,112331013
1,40,8,7,2
1,42,2,211321123,111367733
1,47,174,21,131112113
1,54,5,0,121131102
1,55,121131101,2,9
1,59,9,4,0
1,60,19,1,1
1,70,0,8,2
1,74,10310001,99385,31698
1,77,57966,11511,49
1,79,33930,13,2
1,84,6,3131112,10130330
1,94,17,9,3
1,96,17,33,4
1,98,131112034,3154344,3236967
1,99,3123231,14429,120312014
1,102,0,311120311,2303
1,108,2,1,111002122
1,111,111002134,204,909
1,116,1,1,31311100
1,117,31311101,2021300,100224850
2,4,1155,217,71
2,9,26,8,6
2,10,48281,30697,10
2,13,131123321,31031,12174
2,14,33406,9013,47
2,19,2,8,2
2,20,0,311233133,203
2,22,31104,3946,53
2,23,8045,18,5
2,24,233110021,2,2
2,25,6,8,8
2,26,1207,23,8
2,27,43,3,131123311
2,31,3,2,0
2,32,3,311233103,264414763
2,35,26730,5368,12
2,36,108,51,42
2,37,3,3,31311233
2,38,233139925,9043,29
2,39,682,19,3
2,40,121166795,22901,12
2,41,12,9,5
2,46,102616,21361,16
