x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
0,12,43504413,468469,129047,21752206.5
1,17,17817,15,2,17817
2,7,2,1,30233032,2
2,24,15,10,4,15
4,2,0,220302220,139364,0
4,3,332220302,213,966,332220302
4,7,12,2,0,12
4,20,2,4,9,2
4,35,23303201,3333,84240,23303201
5,0,111,14,0,111
5,5,23303202,10333,35852,23303202
5,13,3,0,23303202,3
5,14,0,303202013,0,0
6,7,13,1,1,13
7,0,3068,17,110,3068
7,4,3,3,0,3
7,5,0,303202110,3,0
7,6,20210331,171625,22779,20210331
7,7,32058485,11384,41,10686161.666666666
7,14,1,3023303,20201301,1
8,5,1,3023303,20211010,1
8,7,30259229,233242195,16669,10086409.666666666
8,19,474630,11345,16,474630
9,5,1,0,23303202,1
9,7,3,0,32021013,3
9,15,95121,35573,15,95121
9,23,9261,15,1,9261
10,7,50179,15,1,50179
10,13,466967,42524,11,466967
10,15,55,2,2,27.5
10,18,15,3,2,15
10,20,0,233032013,322,0
10,21,30233032,130320,558493,30233032
11,5,94543,19431,12,94543
11,10,16,3,2,16
11,11,18,3,2,18
12,4,330320211,231,699,330320211
12,20,1,0,32013101,1
13,4,0,320211302,159323,0
13,17,6,4,0,6
13,18,20132130,13860,7529,20132130
13,19,23053,37,9,11526.5
13,20,2,2,30233032,1
14,4,10,4,0,10
14,19,72161,11398,17,72161
15,4,5,1,1,5
15,19,17,3,1,17
15,20,2,3023303,20132232,2
16,4,13,1,1,13
16,13,330320210,2,261,330320210
16,16,16191,22,1,16191
16,18,51528,12,3,51528
16,20,6,1,23303201,3
16,21,23303201,303233452,21836,11651600.5
16,22,32013023,1,9,32013023
17,3,222030230,1,6,222030230
17,6,2,0,330320212,2
17,10,756,765,18,756
17,12,1158,14,2,1158
17,13,21,2,1,10.5
17,14,0,320210010,234419,0
17,16,961,412,19,961
17,21,16,1,1,16
18,7,2,302330320,212002,2
18,11,174394,27747,26,174394
18,12,2,2,6,2
18,13,5,2,1,5
18,14,2,302330320,210011,2
19,0,55,17,30233222,27.5
19,2,30233287,233524339,30484288,10077762.333333334
19,3,11,0,222033201,11
19,4,10593,8004,28,10593
19,6,2184,44,18,2184
19,7,18,1,1,18
19,14,1,0,330320210,1
20,0,8,2,2,8
20,17,62255153,221323,156402,31127576.5
20,18,322214,51460,16,161107
21,0,21,14,7,21
21,5,9,1,5,9
21,14,2,3023303,20230001,2
21,16,90043,23831,19,45021.5
21,17,30,28,30233039,7.5
21,18,11,233032027,32024214,3.6666666666666665
22,2,1,1,0,1
22,17,43526522,165907,265364,21763261
23,13,37,3,23303203,12.333333333333334
23,16,0,303202233,33,0
24,12,510,359,13,510
24,13,283667,33103,48,94555.66666666667
25,10,330320232,101,170,330320232
26,4,0,233032023,3323,0
26,9,0,320232201,14559,0
27,0,20332033,467236,204515,20332033
27,1,79069,1946,18,79069
27,7,32023323,1,330320234,16011661.5
27,8,1,302330320,232233,1
28,0,1,3023322,20332102,1
28,1,23322203,32100,6736,23322203
28,7,30233038,233309,291500,15116519
28,8,5,1,0,5
29,0,18,0,378864739,6
29,1,791039,644406667,35,197759.75
29,2,63,10,4,63
29,4,50372,16,32023335,25186
29,5,2,2,30233032,2
30,0,123051,16,5,61525.5
30,1,20392356,3385015,20369530,5098089
30,2,93,233222047,2221,46.5
30,3,222345056,297175,332220358,37057509.333333336
30,4,43650518,3105167,20392614,10912629.5
30,5,111,20,5,37
31,0,9,5,3,9
31,1,23322214,32363,39167,11661107
31,2,2,0,222033222,2
31,3,30233238,332233,254379,10077746
31,4,2,303203010,23303215,1
32,0,332221266,220333055,128907,110740422
32,1,283222,33133,23,141611
32,2,14,69,6,14
32,3,125,6,30233222,62.5
32,4,20,2,1,10
33,0,4,302332220,333023,4
