x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
6,1,25917,18634,3,3,1
6,3,26496,12094,11,1,1
8,0,29802,12147,7,1,1
8,0,40630,5294,20,1,1
9,9,12542,3263,24,1,1
11,12,14347,15348,30,3,1
20,56,123994,84366,3,1,1
20,56,165813,150783,4,4,2
22,7,16311,18563,24,3,2
23,20,19620,11649,27,12,1
23,55,14952,4374,24,4,1
24,22,85271,7152,59,5,1
26,89,103003,60744,22,1,1
27,20,5075,508,57,1,1
32,50,3101,7198,26,1,1
33,64,13283,27131,27,1,1
34,55,25129,17964,8,3,1
36,24,622,4419,8,1,1
38,53,56118,33110,30,3,1
38,126,14219,10546,28,8,2
39,73,11505,18139,26,15,2
42,40,4012,189,76,1,1
42,77,12254,11688,25,1,1
43,50,19096,5105,21,1,1
44,64,22272,36308,28,4,1
45,8,69904,74919,4,1,1
45,27,7357,4930,24,4,2
45,123,71654,9725,39,1,1
46,36,3079,15350,87,1,1
46,62,6294,12732,27,1,1
49,68,36070,53893,29,19,1
50,121,20748,4814,36,6,1
55,57,248257,55832,24,1,1
56,62,5689,2346,45,1,1
57,59,85653,25013,33,17,3
57,60,63727,9007,34,1,1
57,60,170516,154766,5,3,1
59,7,91092,39862,34,1,1
59,94,115483,25254,31,7,1
60,58,236591,56956,33,1,1
65,126,13022,9124,22,1,1
66,127,126359,23311,30,47,1
68,51,7563,3237,63,4,1
69,59,71119,8355,23,1,1
73,71,49706,3787,36,1,1
75,55,19438,5135,28,8,1
77,56,32490,23869,30,1,1
77,72,12883,4985,27,1,1
78,73,43424,9616,31,37,2
80,123,12092,24657,21,1,1
81,20,13445,10107,23,1,1
81,54,16932,27677,44,1,1
85,101,200934,22445,24,1,1
87,34,54924,14440,23,1,1
91,44,108387,6491,24,6,1
95,28,171098,9812,33,1,1
99,69,1394,250,254,1,1
126,81,75491,63503,17,1,1
127,81,1648,75557,17,1,1
