x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
13,2,9,3,6
13,96,2,0,230012211
14,2,2100030,0,8
16,0,120023002,1000301,98750
21,9,59,1,1
22,0,2,0,2100030
23,0,2,1,120023002
23,9,3660,4,14
24,97,4,1,1
25,0,9,10,2
25,10,5,9,4
25,11,9057,5,2
28,1,235,11,12
32,7,3122020,1,2
33,9,27735,5003,633
34,5,2,1,1
35,4,2,2,9
35,9,526,432,5
35,10,59,17,2
36,4,311084,270069,10
36,7,190556,157536,10
36,12,0,23003122,212
36,13,120023003,1220210,78636
37,0,4,4,120023003
37,6,0,31310231,498966
37,7,230031310,102,301
37,12,3,3,0
37,13,1,0,3122021
38,28,2,2,0
38,111,1,1,0
39,1,1,0,3131213
39,2,3131212,3,1
39,10,20359,10,1
39,12,131,1,1
39,13,31,3,120023003
39,14,4,8,1
40,2,0,23003131,2131
40,3,120023003,1312130,252926
40,10,1,0,2300312
40,11,0,300312331,10
40,13,86815,72135,8
41,9,1,200230031,310300
41,10,73,5,0
41,11,1,12002300,31233111
41,14,272085,4,1
41,15,12,3,1
42,9,1,0,230031311
42,10,12,8,5
42,12,31233021,97002,50738
42,15,34625,26880,4
44,9,5,1,0
44,10,83623,11,4
44,11,8,1,1
44,12,2300312,33022,49451
44,14,12323022,71128,64287
45,7,2,0,2300321
45,8,10267,92721,9
45,9,82,13,1
45,10,405745,10,1
45,11,12,1,1
45,12,31312232,30708,44564
45,13,10147,71841,8
45,14,19898,10,6
46,4,32321323,449479,92700
46,6,13,1,1
46,7,2,2,0
46,9,342742,8,1
46,10,228,696,30
46,11,9,1,1
46,12,2300313,12233,62855
46,14,65,886,11
46,15,4,2,1
46,16,3,1,0
47,13,0,300313123,0
47,14,37951,39313,37
48,4,4,12002300,32321333
48,5,2300323,21330,83839
48,6,92627,9,1
48,7,114,4,1
48,8,0,300321030,3
48,9,32102123,361403,283034
48,10,230031313,222,991
48,11,95432,95579,10
48,12,3,0,2300313
49,4,2,0,2300323
49,5,0,300323213,32
49,8,2,12002300,32103022
49,9,2300321,2303,4888
49,10,0,31321120,101370
49,12,17,2,0
49,13,1,12002300,31312302
49,16,5,5,3
50,2,126468,9,2
50,5,7,3,0
50,9,981,691,9
50,10,120023003,1323001,74106
50,12,2,2,0
50,13,1,200230031,321133
50,14,230013003,203,272
50,20,2300123,23200,34440
51,0,1,0,230032332
51,1,1,200230032,332002
51,2,525,847,7
51,8,230032113,100,200
51,9,33519,51283,15
51,10,0,23003133,1
51,11,3132213,3,1
51,12,8,6,3
51,13,1,0,230031321
51,18,1,12002300,12323203
51,19,0,300123232,2
53,3,107239,99460,7
53,8,1,200230032,113121
53,10,83,2,0
53,11,3,0,3133001
53,12,0,8,8
53,13,9,34,1
53,14,0,13021000,353699
53,19,6,0,2300123
54,2,230032331,311,262
54,4,8,21,2
54,5,8,3,1
54,8,1,0,230032113
54,9,0,32113113,271800
54,10,9,1,1
54,11,5,2,120023003
54,12,129894,153184,9
54,13,7976,8,1
55,3,9,24,3
55,9,766,976,46
55,11,1,0,0
55,12,5,1,1
55,13,1,1,0
55,14,1,200230013,123220
56,10,3212111,0,0
56,11,27697,75951,9
56,12,17,3,1
58,10,0,23003212,1121
58,11,120023003,2121112,51729
59,12,3325,17,1
60,10,8,6,1
62,10,37,8,4
62,13,1,0,3213323
63,11,33788,8,3
63,12,3,1,0
63,13,2,1,120023003
63,16,3,0,230013203
65,9,9,2,2
65,10,0,300332220,11
65,11,33222002,144389,114350
65,12,68683,74502,7
66,0,0,33222101,497635
67,10,1,12002300,33222012
67,11,2300332,22003,6854
69,11,3,0,2300332
70,20,120023002,101330,232545
71,10,11,6,2
71,11,5,2,0
72,0,1,1,0
72,20,0,23002011,1
73,21,2,0,2011020
74,21,11,1,120023002
74,33,1,1,0
77,23,7,3,3
78,23,150079,149042,9
79,24,9277,33,1
80,6,936,66,9
81,11,47647,11,4
81,23,2010023,2,9
83,8,319121,313625,8
83,35,0,2,1
85,7,230033222,100,116
87,5,3322310,2,6
87,8,6,1,1
88,19,414,201,30
88,20,6428,3,1
88,21,21,15,6
89,4,120023003,3223110,55312
90,19,55764,48128,5
90,21,68,1,1
90,24,3,1,1
91,4,0,23003322,3113
91,14,4,0,230021000
91,19,230021000,113,570
92,3,2,0,3322331
92,6,8,8,3
92,18,2,200230021,121
92,19,0,21000120,333524
92,25,57,5,1
95,0,6,4,0
95,26,1,1,0
99,0,65,13,9
99,4,9,9,1
99,22,2300210,11,49059
100,6,9784,7,6
100,22,0,300210000,12
101,20,13,8,0
101,23,2,0,2300210
101,38,36,3,2
102,23,2,2,0
104,8,55724,33467,7
104,27,101488,3,4
105,9,5,2,8
105,21,3,0,5
105,25,1,12002300,21000013
105,26,20113121,38978,8344
105,27,89638,92364,3
106,18,0,112020330,27743
106,22,67158,96161,9
106,23,123361,9,2
106,24,3,0,11200323
106,25,120023011,2003133,93044
106,27,0,0,9
107,24,2,1,120023011
107,25,0,23011200,3231
107,26,11200130,1,9
107,27,9082,4318,129
107,28,3875,9,5
107,37,20391,32,2
108,4,33038,44080,26
108,9,2,8,6
109,8,9,0,8
109,9,15,16,2
109,20,230112020,312,258
109,21,256494,149703,8
109,24,72,9,1
109,25,4,4,0
