x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
13,121,42638,35047,10
13,127,49369,18687,6
29,27,4665,637,72
30,25,15619,11944,14
31,27,20293,2691,39
31,125,25753,8099,28
48,84,7264,12501,31
49,84,1114,3540,44
56,35,29862,14771,12
58,33,8661,4058,24
58,35,22455,28133,22
59,33,12860,8361,28
61,33,20359,16058,28
61,41,51604,21946,15
64,116,2629,320,38
65,115,4512,499,89
67,35,4630,3429,11
67,36,16119,14142,20
68,33,22004,22301,18
68,35,13779,9838,101
68,36,35301,13418,15
69,33,43999,20672,10
69,35,34820,14974,12
70,36,38449,27837,13
70,38,37262,20691,13
71,22,17826,3518,10
71,25,18640,4622,19
71,28,54055,38155,15
71,30,46293,14607,31
71,33,160563,193444,5
71,35,58217,22030,5
71,36,26216,12489,19
71,38,7318,1857,41
72,25,15003,1035,31
72,31,54418,12088,10
72,33,250216,113554,5
72,35,35527,14863,18
72,39,111511,58695,4
73,28,93101,60641,6
73,30,68136,19923,13
73,31,122644,62765,8
73,33,133613,62238,6
73,36,57550,31831,29
73,38,80008,63397,6
73,96,1808,11774,46
74,30,26049,16388,8
74,35,53157,36097,21
74,36,70284,33033,33
74,38,53709,26215,7
75,31,42685,23639,7
75,33,93183,41672,7
75,35,51862,24458,13
75,39,44180,17570,5
76,30,11273,11850,45
76,31,40936,19192,8
76,33,28930,11627,6
76,36,67597,49979,18
76,38,52203,22726,9
76,39,46711,10793,33
76,41,146344,140020,6
77,35,52250,28722,11
77,36,42989,23849,22
77,38,57084,27833,8
77,42,24429,10201,9
78,33,28562,6600,6
78,35,31733,15873,8
78,36,17084,12191,12
78,39,5718,4288,85
78,41,30945,10705,7
78,44,438,2562,101
78,48,5061,143,92
79,33,22014,13895,19
79,38,13950,3534,37
79,39,8661,6868,63
79,41,31185,13698,31
80,35,41595,19116,40
80,36,27450,10391,25
80,38,26861,11738,23
81,33,78304,41122,15
81,35,36460,16640,10
81,36,32515,12706,23
82,33,33537,12581,19
82,35,72398,53288,10
82,38,29828,11061,14
83,36,15569,5689,33
83,38,14277,4423,15
84,33,8674,5455,38
84,35,13340,4696,8
84,36,11741,3625,35
85,33,3614,642,65
85,35,16505,4215,13
85,60,18459,2748,26
87,35,12435,4562,7
87,103,2724,4445,51
88,68,14859,576,47
88,104,3521,13906,49
89,84,22816,15449,25
89,103,12953,9604,26
89,104,61593,11784,38
90,68,6637,1318,23
90,86,2020,7298,34
90,87,2845,9018,34
90,104,10041,347,30
91,71,19759,15361,19
91,106,6493,4221,73
91,127,33258,12697,65
92,66,9048,412,17
92,68,8190,422,19
92,74,34104,37919,6
92,100,1744,2518,22
92,106,8370,18088,41
92,107,3589,882,201
92,121,5797,6585,25
93,66,13801,6857,26
93,68,10431,2650,32
93,109,4378,5004,59
93,122,16325,9623,54
93,124,9836,4124,30
93,125,20397,5512,49
94,107,2027,5609,85
94,122,20972,5068,18
94,124,910,6423,106
95,68,21545,18769,44
96,110,2845,11149,59
96,124,5294,2645,44
97,110,3559,649,96
98,121,3612,4923,118
99,121,4873,5827,98
100,122,1969,7755,183
101,121,2375,2346,59
102,119,41713,11607,46
102,121,3345,2897,66
103,118,12675,17361,22
104,119,8500,19307,23
106,95,8675,18506,49
106,96,2361,25878,22
106,124,1396,1213,94
108,125,1788,4605,74
110,100,1965,20802,29
113,86,4130,14435,103
114,86,898,14095,118
115,112,4085,631,57
116,112,4907,1145,17
118,86,2950,1656,48
119,109,12313,14230,14
119,110,2152,81,67
121,115,4218,6569,75
122,87,6830,10574,85
123,44,2930,700,31
123,87,2635,8610,216
124,127,2139,1296,18
125,25,3637,1692,19
127,90,1735,371,41
127,119,12356,13955,15
127,127,19551,9895,17
