x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,44,2856,1569,44
1,43,10830,1006,26
1,80,53504,50000,4
1,84,46951,68661,2
2,44,3459,1745,18
2,60,624,4639,27
2,82,54216,45638,4
2,84,76475,98815,3
3,55,5723,1310,6
4,60,3784,1673,16
6,41,4201,1841,33
7,40,5811,2217,26
7,63,4240,4038,70
8,66,5313,2176,13
8,68,4623,2425,30
8,126,14237,6963,14
9,90,2850,1375,82
10,121,11299,11723,9
11,46,2768,1616,182
14,7,4267,2214,60
15,5,1238,2643,44
15,24,11856,3556,18
19,21,4312,1525,29
19,30,3034,2794,35
20,33,4303,4715,9
22,91,3675,1824,41
23,4,2066,2822,35
25,4,33448,40109,9
25,40,9635,2263,55
26,38,2070,72,164
26,47,6876,14498,3
26,49,3659,1947,34
29,26,3003,1476,27
33,16,3186,3228,124
35,30,6169,7294,19
37,11,18580,19916,20
38,26,1912,1884,20
38,121,6548,6627,32
38,124,6098,4501,39
40,11,76617,101758,13
46,44,10639,3319,22
47,38,21801,26752,13
52,16,34818,23544,4
53,11,89153,47725,5
53,15,61847,46047,3
53,16,115247,127263,13
55,16,63578,78546,14
55,18,94019,47475,11
56,19,96254,47277,7
61,80,40332,47312,3
62,52,4757,5674,39
65,110,2052,2055,52
66,68,37980,36495,26
66,112,733,2025,38
68,65,66286,45995,10
68,104,73489,52371,6
68,106,54241,61185,6
69,104,62251,35442,3
69,106,19593,9451,5
72,46,56829,43845,10
72,47,3190,2623,5
74,74,7812,5054,14
75,87,238799,168602,3
77,5,17189,8994,3
77,95,120922,129190,4
78,85,174280,172430,3
78,99,96564,48606,4
79,84,37336,41065,3
79,95,170933,303209,4
79,106,7626,11298,4
79,117,148912,129050,4
79,118,147776,154018,4
79,121,43234,34155,4
80,22,33810,22868,13
82,96,759,2869,43
82,113,43492,51792,4
82,120,9542,9875,15
83,71,12571,7972,7
83,73,51217,51826,2
83,113,37792,7080,35
83,115,30272,9178,14
83,117,3870,1863,17
83,118,2162,1579,26
83,120,9264,1594,11
84,124,55593,40335,13
85,71,79033,55554,6
86,32,1978,1909,40
86,76,89470,92225,4
86,91,60183,70494,6
87,109,28367,25979,4
88,84,45365,66007,3
89,47,21231,10578,8
89,49,1147,5546,23
90,33,562,15384,9
90,85,5540,2764,4
91,87,66343,71895,3
91,88,125161,144069,2
91,91,10277,18216,3
92,87,60887,42303,4
92,90,67815,75903,3
92,91,63656,85979,2
92,113,7039,4918,16
93,91,28683,34234,5
95,84,3532,2105,25
95,88,89898,92745,4
96,98,81438,60751,2
96,99,58297,61413,2
97,87,2928,3137,12
97,88,79424,86224,2
97,99,57566,54346,3
97,101,6341,9252,7
99,98,44561,47536,3
99,99,92956,94172,3
99,104,90097,48468,4
99,112,66604,18737,56
100,84,18355,32488,3
100,98,136987,118928,4
100,99,106407,99126,3
100,101,66950,72494,3
100,102,67792,58185,3
100,104,170664,167980,4
101,88,125322,146375,6
101,104,138684,120916,4
102,30,3555,131,9
102,32,35166,22785,3
102,33,115825,97799,5
102,65,239189,282914,2
102,99,197588,97965,4
102,101,112291,71253,6
102,102,57363,51983,3
103,104,167100,189954,1
108,68,4911,295,37
108,95,2381,10560,24
109,32,14392,2556,562
109,54,1373,3169,27
109,118,1350,14064,9
110,102,90786,89855,3
111,46,5824,4420,14
111,66,4285,5450,44
111,88,1693,3844,34
111,113,11411,28399,4
112,96,15253,10089,3
113,66,2367,3290,14
113,87,3903,2883,21
113,112,37509,44795,4
114,112,25023,14657,4
115,102,2434,5048,6
116,84,128901,121779,3
117,58,5932,3343,36
117,91,79709,93518,3
119,87,205154,284697,3
121,65,38267,40802,3
121,88,3670,6792,7
122,118,34194,16330,7
123,106,4202,2519,17
124,117,114120,144384,9
126,65,10798,32442,6
126,88,10432,6077,20
127,98,1261,1383,136
