x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
5,102,63156,12586,33
21,102,45217,92874,24
27,115,48627,25689,35
27,116,170911,34119,24
28,116,278728,44230,26
29,109,94183,54085,33
30,116,181582,59625,20
31,118,17627,18841,22
31,124,104774,54575,24
31,125,9144,573,31
32,105,42847,44322,57
32,118,8870,18249,23
32,127,48024,55080,22
33,78,337830,68089,21
33,105,135162,33018,27
33,107,84651,21636,27
33,115,48447,49049,22
33,116,232989,63433,25
33,124,47677,36562,25
34,87,32695,53222,36
35,104,75540,64492,16
35,105,97214,39839,28
35,107,81216,38058,29
35,112,641407,69969,24
36,93,187254,63809,30
36,105,94442,25721,33
36,107,90905,64230,21
41,119,40643,21954,35
42,101,21814,2007,24
44,116,329449,63489,25
45,78,11923,14073,35
45,101,8001,4252,24
46,78,137432,49418,33
46,87,476755,9231,22
48,77,418634,65971,25
49,26,12818,35106,25
50,107,11121,4517,23
58,52,248637,58101,16
58,74,18190,35961,25
62,60,41634,36631,24
66,121,56972,19038,45
67,61,301822,39587,29
69,20,55073,32746,312
70,83,74091,68753,327
75,40,484956,52285,31
78,29,16925,5464,26
81,31,70436,44607,28
82,31,196002,42097,25
82,32,373199,55454,25
84,29,94295,69572,28
84,31,242599,48714,32
86,61,45307,54764,22
87,22,190176,74054,22
88,22,22792,65216,30
93,14,107485,50117,21
93,16,73837,38491,103
94,64,30532,51333,28
97,16,27122,23192,30
97,17,20496,31421,38
98,10,257550,37880,292
98,17,40475,50413,23
99,19,67556,51215,24
100,57,50355,14603,32
100,61,10785,16584,23
100,64,51882,32095,26
101,10,61370,56024,25
101,17,108719,39973,28
101,19,38193,21300,26
102,5,134825,50396,31
102,17,93311,47249,27
102,19,35649,37671,30
103,8,22773,49138,26
103,16,184826,50967,32
103,20,4606,4758,43
103,22,192130,41443,37
103,63,144521,36017,28
104,14,81803,64560,29
104,16,41500,36967,30
104,17,50550,32844,31
104,19,174617,55462,29
104,63,36251,42721,36
105,5,70280,71494,33
105,7,118064,34769,107
105,11,36904,27441,25
105,13,286030,42108,29
105,17,87176,28077,42
105,19,176909,34181,22
105,20,56852,27838,32
105,61,211319,61177,27
106,14,255967,47231,31
106,16,224822,46991,29
106,19,154369,22398,37
106,61,321598,50088,27
107,14,134254,31721,30
107,17,205070,46278,32
108,13,29920,4868,28
108,17,180723,38031,33
108,60,52815,47118,34
109,11,98411,35904,34
109,13,46806,38439,33
109,14,399574,27360,34
110,17,16564,2960,38
110,20,109637,29836,38
110,80,23791,24922,65
111,3,46712,64965,28
111,10,38990,29898,25
111,19,393151,53138,33
111,57,81046,23623,35
112,3,217419,43998,30
112,5,17156,40573,26
112,11,15207,26200,31
114,3,391831,49783,31
114,5,184105,40608,35
117,17,440680,59607,24
120,22,240682,50604,29
121,17,8486,9001,28
122,20,54607,78812,24
126,23,61224,64294,30
