x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
24,107,3562,1864,168
34,86,34241,23563,12
38,108,78170,84757,8
39,105,75638,25969,4
40,108,133577,174807,5
41,94,138964,12328,74
41,105,144453,102212,4
41,107,77530,20218,5
42,96,149694,14164,73
44,114,7547,732,15
45,96,46839,26631,21
45,102,53872,10115,10
45,105,38464,20544,5
45,107,185032,150868,4
45,116,147649,159889,2
46,94,50074,13647,45
46,97,108473,70702,7
46,99,69902,34883,8
46,105,43134,13631,8
47,93,34454,49216,6
47,96,84257,69498,8
47,97,77397,62210,8
47,100,226838,17071,118
47,102,31112,9032,18
47,104,68980,22906,20
47,107,2374,1492,236
48,94,47029,20536,5
48,96,88473,60269,12
48,99,50917,20972,5
48,100,91161,69634,46
48,102,144214,67402,10
48,105,66889,54111,8
48,107,89750,54087,6
48,110,181405,103764,3
48,116,12970,724,15
48,118,12448,694,17
49,94,23790,20484,4
49,97,109147,59583,6
49,99,129879,70099,4
49,100,47654,23924,11
49,104,93090,64857,6
49,105,29955,9280,30
50,96,84562,45819,5
50,97,102886,56053,4
50,99,129773,73491,4
50,102,115316,66170,8
50,104,44225,23258,7
50,107,120276,26185,7
50,108,11770,14481,7
51,100,37067,17178,4
51,102,112125,80526,5
51,105,80786,32340,12
51,107,9931,710,49
51,108,49958,19037,4
51,113,4875,689,20
51,118,17408,18777,4
52,100,72642,59783,18
52,104,113124,21395,7
52,105,66969,55414,11
52,110,199149,125242,4
52,114,97613,17908,35
52,116,47142,16183,4
52,118,78920,55792,5
53,102,162334,194666,3
53,104,64742,28268,7
53,107,114685,75895,4
53,108,61597,16249,5
53,113,109325,57841,6
53,114,177760,93434,4
53,119,40990,9769,11
53,127,46492,19021,5
54,100,145293,84293,5
54,102,79700,33069,6
54,105,93885,69301,4
54,107,65329,15953,7
54,108,19603,21478,6
54,111,103996,20603,4
54,116,68083,70585,5
55,104,126363,69469,23
55,107,166699,83554,3
55,110,60456,18754,4
55,125,87959,69134,4
55,127,177247,115356,3
56,102,113636,101463,6
56,104,302607,281502,2
56,105,97358,48640,10
56,108,11513,19401,3
56,110,268624,311461,2
56,113,55156,12028,5
56,116,13991,731,14
56,124,11766,19010,12
56,125,50136,14735,5
56,127,233282,110224,3
57,107,59691,17912,4
57,108,1966,2057,11
57,111,96836,92231,3
57,113,54164,9757,10
57,118,10642,361,32
57,124,308364,253035,3
57,125,78774,52967,5
58,104,53412,12997,9
58,105,77530,39736,3
58,110,27970,21648,3
58,111,21542,7531,5
58,118,75157,27631,7
58,124,31565,10985,6
58,127,154715,93171,6
59,104,39914,48714,4
59,113,18430,7190,13
59,114,98685,51479,8
59,116,157436,120672,3
59,122,24892,15863,6
59,125,83477,20542,4
59,127,38598,34863,7
60,113,196169,138571,4
60,114,21968,4666,13
60,118,72576,19813,5
60,119,37240,14411,17
60,124,79906,18965,5
60,125,39051,10663,11
61,116,86092,18842,5
61,118,227903,174417,3
61,121,32978,14875,5
61,124,68392,17684,12
61,127,22993,18605,5
62,104,44876,91017,3
62,110,51422,17586,7
62,111,177338,150906,3
62,119,65247,19104,5
62,121,88757,58898,4
62,122,50939,19469,5
62,125,91133,18594,4
62,127,64257,20385,5
63,110,35454,20899,5
63,118,11137,11041,5
63,124,40416,10224,16
63,125,64504,18541,5
64,118,44677,20471,11
64,119,157565,120701,9
64,122,17637,9743,5
64,124,46963,15705,5
64,127,78101,18013,5
65,114,88645,156266,4
65,116,42902,30485,5
65,122,102446,20645,5
65,125,68098,19792,4
66,114,68625,20602,6
66,118,312232,74154,4
66,119,9135,325,17
66,121,7168,10360,11
66,125,28804,20544,4
67,116,33444,18413,4
67,118,394590,70886,6
68,114,142924,154645,2
68,118,58741,49331,8
68,127,4504,5030,38
69,119,66543,27238,7
70,113,45264,73990,3
70,119,103144,71145,16
71,121,100915,58140,4
72,102,348866,193974,4
72,119,43440,9531,9
72,125,32012,10987,3
73,119,70819,19699,13
73,122,20949,5263,13
74,118,51648,24890,4
75,119,48416,17729,5
76,119,19365,18876,4
76,124,15614,20191,5
76,125,52944,19777,3
77,124,4929,1556,20
78,125,22372,13397,12
80,107,42145,39461,5
81,105,32269,9552,10
83,107,5189,862,11
83,108,40680,20678,4
83,111,27968,18411,5
86,100,91719,20546,5
86,113,90293,20796,3
87,100,101960,62337,7
87,104,92883,19499,5
87,124,106569,217616,3
88,99,208611,28783,3
88,102,29998,34754,5
88,125,302290,296403,4
89,100,76971,45048,4
89,118,113560,143805,4
89,124,109727,267333,3
89,125,86765,276934,3
92,100,66690,18587,6
93,105,81457,20283,6
93,116,9568,603,18
97,105,71456,20584,5
101,105,92341,18863,5
104,97,15220,20434,5
106,99,50265,13464,5
